Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
478,Exit long,2025-05-23 10:29,Close entry(s) order Long,56543.1,1,56325.3,6437.88,0.33,13933.58,0.71,-2705.42,-0.14,-387048.3,-3.87
478,Entry long,2025-05-22 14:41,Long,56325.3,1,56325.3,6437.88,0.33,13933.58,0.71,-2705.42,-0.14,-387048.3,-3.87
479,Exit long,2025-05-23 12:29,Close entry(s) order Long,56848.9,1,56746.7,2384.25,0.12,7580.16,0.38,-973.84,-0.05,-384664.06,-3.85
479,Entry long,2025-05-23 10:49,Long,56746.7,1,56746.7,2384.25,0.12,7580.16,0.38,-973.84,-0.05,-384664.06,-3.85
480,Exit long,2025-05-23 13:44,Close entry(s) order Long,56828.3,1,56946.7,-5338.64,-0.27,0,0.00,-4811.94,-0.24,-390002.72,-3.90
480,Entry long,2025-05-23 13:29,Long,56946.7,1,56946.7,-5338.64,-0.27,0,0.00,-4811.94,-0.24,-390002.72,-3.90
481,Exit long,2025-05-26 10:26,Close entry(s) order Long,57127.1,1,57210.9,-4133.55,-0.21,6049.29,0.30,-3750.71,-0.19,-394136.25,-3.94
481,Entry long,2025-05-26 09:16,Long,57210.9,1,57210.9,-4133.55,-0.21,6049.29,0.30,-3750.71,-0.19,-394136.25,-3.94
482,Exit short,2025-05-26 12:00,Close entry(s) order Short,57026.9,1,56871.9,-6620.94,-0.33,2692.85,0.14,-7352.15,-0.37,-400757.2,-4.01
482,Entry short,2025-05-26 10:36,Short,56871.9,1,56871.9,-6620.94,-0.33,2692.85,0.14,-7352.15,-0.37,-400757.2,-4.01
483,Exit long,2025-05-26 12:44,Close entry(s) order Long,56983.3,1,57080.9,-4613.67,-0.23,0,0.00,-4918.35,-0.25,-405370.88,-4.05
483,Entry long,2025-05-26 12:30,Long,57080.9,1,57080.9,-4613.67,-0.23,0,0.00,-4918.35,-0.25,-405370.88,-4.05
