Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
5757,Exit long,2024-06-12 14:48:40,Close entry(s) order Long,54572.65,1,54589.8,-1746.46,-0.09,1126.06,0.06,-1187.44,-0.06,-6849114.5,-68.49
5757,Entry long,2024-06-12 14:43:20,Long,54589.8,1,54589.8,-1746.46,-0.09,1126.06,0.06,-1187.44,-0.06,-6849114.5,-68.49
5758,Exit short,2024-06-12 15:06:00,Close entry(s) order Short,54552.8,1,54546.15,-1378.29,-0.07,1950.77,0.10,-899.98,-0.05,-6850492.5,-68.50
5758,Entry short,2024-06-12 14:57:40,Short,54546.15,1,54546.15,-1378.29,-0.07,1950.77,0.10,-899.98,-0.05,-6850492.5,-68.50
5759,Exit short,2024-06-13 09:15:10,Long,54664.9,1,54487.05,-7370.85,-0.39,967.89,0.05,-9735.11,-0.51,-6857863.5,-68.58
5759,Entry short,2024-06-12 15:26:00,Short,54487.05,1,54487.05,-7370.85,-0.39,967.89,0.05,-9735.11,-0.51,-6857863.5,-68.58
5760,Exit long,2024-06-13 09:31:40,Close entry(s) order Long,54665.25,1,54664.9,-1135.72,-0.06,2336.27,0.12,-1065.73,-0.06,-6858999.5,-68.59
5760,Entry long,2024-06-13 09:15:10,Long,54664.9,1,54664.9,-1135.72,-0.06,2336.27,0.12,-1065.73,-0.06,-6858999.5,-68.59
5761,Exit short,2024-06-13 09:56:00,Close entry(s) order Short,54598.4,1,54648.05,590.66,0.03,3101.2,0.16,-1168.8,-0.06,-6858408.5,-68.58
5761,Entry short,2024-06-13 09:36:50,Short,54648.05,1,54648.05,590.66,0.03,3101.2,0.16,-1168.8,-0.06,-6858408.5,-68.58
5762,Exit long,2024-06-13 10:07:40,Close entry(s) order Long,54612,1,54648.5,-2424.74,-0.13,738.69,0.04,-1879.31,-0.10,-6860833.5,-68.61
5762,Entry long,2024-06-13 09:57:30,Long,54648.5,1,54648.5,-2424.74,-0.13,738.69,0.04,-1879.31,-0.10,-6860833.5,-68.61
5763,Exit short,2024-06-13 10:21:40,Close entry(s) order Short,54637.1,1,54613.95,-1957.39,-0.10,158.05,0.01,-1546.45,-0.08,-6862790.5,-68.63
5763,Entry short,2024-06-13 10:16:20,Short,54613.95,1,54613.95,-1957.39,-0.10,158.05,0.01,-1546.45,-0.08,-6862790.5,-68.63
5764,Exit short,2024-06-13 10:41:00,Close entry(s) order Short,54563.05,1,54584.7,-388.3,-0.02,2529.61,0.13,-1196.14,-0.06,-6863179,-68.63
5764,Entry short,2024-06-13 10:26:20,Short,54584.7,1,54584.7,-388.3,-0.02,2529.61,0.13,-1196.14,-0.06,-6863179,-68.63
