Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1332,Exit long,2025-01-24 12:03,Close entry(s) order Long,104815.5,1,103627.5,1125.47,1.09,1659.91,1.60,-258.59,-0.25,-83730.03,-0.84
1332,Entry long,2025-01-24 08:59,Long,103627.5,1,103627.5,1125.47,1.09,1659.91,1.60,-258.59,-0.25,-83730.03,-0.84
1333,Exit long,2025-01-24 15:10,Close entry(s) order Long,105238.5,1,105174.5,0.88,0.00,521.95,0.50,-88.05,-0.08,-83729.16,-0.84
1333,Entry long,2025-01-24 13:43,Long,105174.5,1,105174.5,0.88,0.00,521.95,0.50,-88.05,-0.08,-83729.16,-0.84
1334,Exit long,2025-01-24 17:03,Close entry(s) order Long,105235,1,105458.5,-286.71,-0.27,0,0.00,-255.64,-0.24,-84015.86,-0.84
1334,Entry long,2025-01-24 16:48,Long,105458.5,1,105458.5,-286.71,-0.27,0,0.00,-255.64,-0.24,-84015.86,-0.84
1335,Exit long,2025-01-24 17:38,Close entry(s) order Long,105271.5,1,105560,-351.75,-0.33,0,0.00,-320.67,-0.30,-84367.61,-0.84
1335,Entry long,2025-01-24 17:34,Long,105560,1,105560,-351.75,-0.33,0,0.00,-320.67,-0.30,-84367.61,-0.84
1336,Exit long,2025-01-24 18:38,Close entry(s) order Long,105359.5,1,105603,-306.79,-0.29,113.82,0.11,-286.18,-0.27,-84674.4,-0.85
1336,Entry long,2025-01-24 18:32,Long,105603,1,105603,-306.79,-0.29,113.82,0.11,-286.18,-0.27,-84674.4,-0.85
1337,Exit short,2025-01-24 20:08,Close entry(s) order Short,105337.5,1,105086,-314.63,-0.30,431.47,0.41,-397.53,-0.38,-84989.02,-0.85
1337,Entry short,2025-01-24 18:50,Short,105086,1,105086,-314.63,-0.30,431.47,0.41,-397.53,-0.38,-84989.02,-0.85
1338,Exit long,2025-01-24 20:46,Close entry(s) order Long,105331.5,1,105794,-525.84,-0.50,482.26,0.46,-546.24,-0.52,-85514.87,-0.86
1338,Entry long,2025-01-24 20:13,Long,105794,1,105794,-525.84,-0.50,482.26,0.46,-546.24,-0.52,-85514.87,-0.86
