Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1259,Exit short,2024-05-21 10:58,Close entry(s) order Short,53307.5,1,53228.1,-3897.62,-0.21,1934.86,0.10,-3500.64,-0.19,-1514442.8,-15.14
1259,Entry short,2024-05-21 10:00,Short,53228.1,1,53228.1,-3897.62,-0.21,1934.86,0.10,-3500.64,-0.19,-1514442.8,-15.14
1260,Exit long,2024-05-21 12:29,Close entry(s) order Long,53347.85,1,53379.05,-2212.63,-0.12,1935.02,0.10,-2595.73,-0.14,-1516655.4,-15.17
1260,Entry long,2024-05-21 11:17,Long,53379.05,1,53379.05,-2212.63,-0.12,1935.02,0.10,-2595.73,-0.14,-1516655.4,-15.17
1261,Exit long,2024-05-21 13:24,Close entry(s) order Long,53415.65,1,53497.85,-3999.59,-0.21,313.27,0.02,-3438.73,-0.18,-1520655,-15.21
1261,Entry long,2024-05-21 12:56,Long,53497.85,1,53497.85,-3999.59,-0.21,313.27,0.02,-3438.73,-0.18,-1520655,-15.21
1262,Exit short,2024-05-22 12:02,Close entry(s) order Short,52985.95,1,53323.7,10705,0.57,14917.1,0.80,-3072.9,-0.16,-1509950,-15.10
1262,Entry short,2024-05-21 14:21,Short,53323.7,1,53323.7,10705,0.57,14917.1,0.80,-3072.9,-0.16,-1509950,-15.10
1263,Exit long,2024-05-22 14:12,Close entry(s) order Long,52959.2,1,53024.85,-3410.58,-0.18,423.24,0.02,-2938.51,-0.16,-1513360.6,-15.13
1263,Entry long,2024-05-22 13:59,Long,53024.85,1,53024.85,-3410.58,-0.18,423.24,0.02,-2938.51,-0.16,-1513360.6,-15.13
1264,Exit short,2024-05-22 15:03,Close entry(s) order Short,52896,1,52865.1,-2191.99,-0.12,4735.17,0.26,-2200.08,-0.12,-1515552.5,-15.16
1264,Entry short,2024-05-22 14:55,Short,52865.1,1,52865.1,-2191.99,-0.12,4735.17,0.26,-2200.08,-0.12,-1515552.5,-15.16
1265,Exit long,2024-05-23 13:16,Close entry(s) order Long,53718.5,1,53081.8,21163.1,1.14,26359.39,1.42,-686.86,-0.04,-1494389.5,-14.94
